Account Name,Campaign ID,Campaign Name,Campaign Status,Ad Set Name,Ad Set ID,Ad Set Status,Website URL(s)
SM Hair,120237665304530540,ntn_adv_web_conv_offer_mix_270226 – Copy,PAUSED,open_india_static_creative_26022026,120237665304510540,ACTIVE,https://studdmuffyn.com/collections/buy-1-get-1-sale
SM Hair,120237666679080540,ntn_web_conv_hair_24_7_phusphus_combo_reel_ugc_partnership_20022026 – Copy 2,PAUSED,open_india_24_7_phusphus_mix_creative_240226,120237666679180540,ACTIVE,https://studdmuffyn.com/collections/real-power-of-redensyl
SM Hair,120237666679080540,ntn_web_conv_hair_24_7_phusphus_combo_reel_ugc_partnership_20022026 – Copy 2,PAUSED,open_india_24_7_phusphus_mix_creative_240226,120237666679060540,ACTIVE,https://studdmuffyn.com/collections/real-power-of-redensyl
SM Hair,120237667005170540,brand_adv_web_conv_insideouthaircarecombo_creative_ 270226,PAUSED,open_india_creative_270226,120237667005220540,ACTIVE,https://studdmuffyn.com/collections/hair-care-inside-out
SM Hair,120237702599790540,ntn_adv_web_hair_xtreme_hair_reel_partnership_280226 – Copy,PAUSED,open_india_xtreme_hair_combo_mix_creative_240226,120237702599860540,ACTIVE,https://studdmuffyn.com/collections/all-hair-solution-products
SM Hair,120237702599790540,ntn_adv_web_hair_xtreme_hair_reel_partnership_280226 – Copy,PAUSED,open_india_xtreme_hair_combo_mix_creative_240226,120237702599860540,ACTIVE,https://studdmuffyn.com/collections/all-hair-solution-products
SM Hair,120237707991500540,ntn_tof_wanda_black_phus_phus_hair_reel_280226_partnership,PAUSED,open_india_mix_creative_270226,120237707991620540,ACTIVE,https://studdmuffyn.com/collections/phus-phus-hair-growth-1
SM Hair,120237707991500540,ntn_tof_wanda_black_phus_phus_hair_reel_280226_partnership,PAUSED,open_india_mix_creative_270226,120237707991620540,ACTIVE,https://studdmuffyn.com/collections/phus-phus-hair-growth-1
SM Hair,120237708699650540,ntn_adv_wanda_appoffer_mix_280226,PAUSED,open_india_mix_creative_26022026,120237708699670540,ACTIVE,https://studdmuffyn.com/
SM Hair,120237744500760540,ntn_adv_wanda_appoffer_mix_010326 – Copy,PAUSED,open_india_mix_creative_26022026,120237744500810540,ACTIVE,https://studdmuffyn.com/
SM Hair,120237745468740540,ntn_adv_web_hair_xtreme_hair_reel_010326,PAUSED,open_india_xtreme_hair_kit_reel_creative_010326,120237745468720540,ACTIVE,https://studdmuffyn.com/collections/xtreme-phus-phus-combo
SM Hair,120237745652240540,ntn_adv_web_conv_insideouthaircarecombo_reel_creative_ 010326,PAUSED,open_india_creative_,120237745652230540,ACTIVE,https://studdmuffyn.com/collections/hair-care-inside-out
SM Hair,120237745716590540,ntn_tof_web_conv_hair_Oils_mix_010326,PAUSED,open_india_hair_oil_mix_creative_010326,120237745716630540,ACTIVE,https://studdmuffyn.com/collections/goodness-of-nature
SM Hair,120237746165870540,ntn_adv_web_conv_phusphus_creative_ – Copy,PAUSED,open_india_mix_creative_261125,120237746165950540,ACTIVE,https://studdmuffyn.com/collections/24-7-hair-care
SM Hair,120237746276070540,ntn_adv_web_conv_combo_offer_static_010326,PAUSED,open_india_static_creative_010326,120237746276050540,ACTIVE,https://studdmuffyn.com/collections/nuskhe-combos
SM Hair,120237907203420540,ntn_web_conv_hair_24_7_phusphus_combo_reel_ugc_partnership_20022026_loc_ex– Copy 3,PAUSED,open_india_bracelet_mix_creative_240226,120237907203530540,ACTIVE,https://studdmuffyn.com/collections/real-power-of-redensyl
SM Hair,120237971339250540,ntn_adv_web_hair_xtreme_hair_reel_20022026 – Copy,PAUSED,Xtreme Hair Growth broad,120237971339280540,ACTIVE,https://studdmuffyn.com/collections/all-hair-solution-products
SM Hair,120238029729330540,ntn_tof_wanda_black_phus_phus_hair_reel_070326,PAUSED,open_india_mix_creative_270226,120238029729380540,ACTIVE,https://studdmuffyn.com/collections/phus-phus-hair-growth-1
SM Hair,120238029844130540,ntn_adv_wanda_hair_hairmist_reel_clp_070326,PAUSED,open_india_hair_hairmist_reel_clp_creative_070326,120238029844120540,ACTIVE,https://studdmuffyn.com/collections/phus-phus-hair-growth-1
SM Hair,120238030106350540,ntn_adv_wanda_hair_phusphuscombo_reel_clp_070326,PAUSED,open_india_bracelet_mix_creative_070326,120238030106340540,ACTIVE,https://studdmuffyn.com/collections/real-power-of-redensyl
SM Hair,120238030106350540,ntn_adv_wanda_hair_phusphuscombo_reel_clp_070326,PAUSED,open_india_bracelet_mix_creative_070326,120238030106340540,ACTIVE,https://studdmuffyn.com/collections/real-power-of-redensyl
SM Hair,120238030206680540,ntn_adv_web_hair_xtremehairgrowthcombo_reel_080326,PAUSED,open_india_xtreme_hair_combo_mix_creative_080326,120238096955900540,ACTIVE,https://studdmuffyn.com/collections/xtreme-phus-phus-combo
SM Hair,120238030206680540,ntn_adv_web_hair_xtremehairgrowthcombo_reel_080326,PAUSED,open_india_xtreme_hair_combo_mix_creative_080326,120238096955900540,ACTIVE,https://studdmuffyn.com/collections/xtreme-phus-phus-combo
SM Hair,120238030555490540,ntn_adv_wanda_hair_ninjahaircombo_reel_clp_070326,PAUSED,open_india_hair_ninjahairgrowth_static_reel_clp_creative_070326,120238030555500540,ACTIVE,https://studdmuffyn.com/collections/ninja-hair-growth-range
SM Hair,120238030694110540,ntn_adv_wanda_hair_insideouthairgrowthcombo_reel_clp_070326,PAUSED,open_india_creative_070326,120238030694120540,ACTIVE,https://studdmuffyn.com/collections/hair-care-inside-out
SM Hair,120238030694110540,ntn_adv_wanda_hair_insideouthairgrowthcombo_reel_clp_070326,PAUSED,open_india_creative_070326,120238030694120540,ACTIVE,https://studdmuffyn.com/collections/hair-care-inside-out
SM Hair,120238030716470540,ntn_adv_wanda_hair_xtremehair_booster_kit_reel_clp_070326,PAUSED,open_india_hair_xtremehairboosterkit_static_reel_clp_creative_070326,120238030716490540,ACTIVE,https://studdmuffyn.com/collections/hair-growth-copy
SM Hair,120238030716470540,ntn_adv_wanda_hair_xtremehair_booster_kit_reel_clp_070326,PAUSED,open_india_hair_xtremehairboosterkit_static_reel_clp_creative_070326,120238030716490540,ACTIVE,https://studdmuffyn.com/collections/hair-growth-copy
SML Skin,120238085689930436,Catalogue_NTN197_paras_st1_video,PAUSED,New Sales ad set,120238085689920436,ACTIVE,https://studdmuffynlife.com/collections/24k-gold
SML Skin,120238086083130436,Test – Catalogue_NTN197_paras_st1_video,PAUSED,New Sales ad set,120238086083120436,ACTIVE,https://studdmuffynlife.com/collections/24k-gold
SML Skin,120238093948460436,Sales_ 24Kgold_masterCamp_Ad set 3 – Copy,PAUSED,24Kgold loose,120238093948530436,ACTIVE,https://studdmuffynlife.com/collections/24k-gold-for-your-skin
SML Skin,120238094300710436,Master_2_NTN322_Pitglow_Paras_st1_3ADSETS – Copy,PAUSED,UNB,120238094416330436,ACTIVE,https://studdmuffynlife.com/collections/underarm-neck-bright
SML Skin,120238094300710436,Master_2_NTN322_Pitglow_Paras_st1_3ADSETS – Copy,PAUSED,PIt glow,120238094300720436,ACTIVE,https://studdmuffynlife.com/collections/pitglow-1
SM Hair,120238095511290540,ntn_adv_wanda_hair_xtremehair_booster_kit_reel_clp_070326 – Copy,PAUSED,open_india_hair_xtremehairboosterkit_static_reel_clp_creative_070326,120238095511300540,ACTIVE,https://studdmuffyn.com/collections/hair-growth-copy
SM Hair,120238096681050540,ntn_tof_web_conv_hair_oil_mix_080326,PAUSED,open_india_hair_oil_mix_creative_080326,120238096681030540,ACTIVE,https://studdmuffyn.com/collections/goodness-of-nature
SM Hair,120238096691660540,ntn_tof_web_hair_oil_mix_080326,PAUSED,open_india_hair_oil_mix_creative_080326,120238096691730540,ACTIVE,https://studdmuffyn.com/collections/goodness-of-nature
SM Hair,120238097594660540,ntn_adv_wanda_hair_ninjahaircombo_reel_clp_080326 – Copy,PAUSED,open_india_hair_ninjahairgrowth_static_reel_clp_creative_070326,120238097594670540,ACTIVE,https://studdmuffyn.com/collections/ninja-hair-growth-range
SM Hair,120238097607950540,ntn_tof_web_conv_hair_oil_mix_080326,ACTIVE,open_india_hair_oil_mix_creative_080326,120238097607970540,ACTIVE,https://studdmuffyn.com | https://studdmuffyn.com/collections/xtreme-hair-growth-oil
SM Hair,120238324143190540,ntn_adv_wanda_hair_hairmist_reel_clp_130326,PAUSED,open_india_hair_hairmist_reel_clp_creative_130326,120238324143210540,ACTIVE,https://studdmuffyn.com/collections/phus-phus-hair-growth-1
SM Hair,120238324555510540,ntn_adv_wanda_neutra_charbigone_reel_130326_d,PAUSED,open_india_charbigone_creative_130326,120238324555500540,ACTIVE,https://studdmuffyn.com/collections/fat-loss-solution
SML Skin,120238447500510436,ntn_web_conv_skin_time_reversal_reel_21022026,PAUSED,open_india_mix_creative_200226,120238447500570436,ACTIVE,https://studdmuffynlife.com/collections/timeless-beauty-fine-clear-skin
SML Skin,120238447500510436,ntn_web_conv_skin_time_reversal_reel_21022026,PAUSED,open_india_mix_creative_200226,120238447500490436,ACTIVE,https://studdmuffynlife.com/collections/timeless-beauty-fine-clear-skin
SML Skin,120238452523020436,ntn_web_conv_skin_underarm_reel_21022026,PAUSED,brand_underarm_cream_creatives_200226,120238452567830436,ACTIVE,https://studdmuffynlife.com/collections/underarm-neck-bright
SML Skin,120238452523020436,ntn_web_conv_skin_underarm_reel_21022026,PAUSED,brand_underarm_cream_creatives_200226,120238452523090436,ACTIVE,https://studdmuffynlife.com/collections/underarm-neck-bright
SML Skin,120238452523020436,ntn_web_conv_skin_underarm_reel_21022026,PAUSED,brand_underarm_cream_creatives_200226,120238452523060436,ACTIVE,https://studdmuffynlife.com/collections/underarm-neck-bright
SML Skin,120238452523020436,ntn_web_conv_skin_underarm_reel_21022026,PAUSED,brand_underarm_cream_creatives_200226,120238452567830436,ACTIVE,https://studdmuffynlife.com/collections/underarm-neck-bright
SML Skin,120238452523020436,ntn_web_conv_skin_underarm_reel_21022026,PAUSED,brand_underarm_cream_creatives_200226,120238452523090436,ACTIVE,https://studdmuffynlife.com/collections/underarm-neck-bright
SML Skin,120238452523020436,ntn_web_conv_skin_underarm_reel_21022026,PAUSED,brand_underarm_cream_creatives_200226,120238452523060436,ACTIVE,https://studdmuffynlife.com/collections/underarm-neck-bright
SML Skin,120238453441080436,ntn_adv_web_conv_skin_offer_mix_210226,PAUSED,brand_time_reversal_mix_reel_200226 – Copy,120238453490650436,ACTIVE,https://studdmuffynlife.com/collections/botox
SML Skin,120238453441080436,ntn_adv_web_conv_skin_offer_mix_210226,PAUSED,brand_offer_mix_static_200226,120238453441050436,ACTIVE,https://studdmuffynlife.com/
SML Skin,120238453441080436,ntn_adv_web_conv_skin_offer_mix_210226,PAUSED,brand_time_reversal_mix_reel_200226 – Copy,120238453490650436,ACTIVE,https://studdmuffynlife.com/collections/botox
SML Skin,120238453441080436,ntn_adv_web_conv_skin_offer_mix_210226,PAUSED,brand_offer_mix_static_200226,120238453441050436,ACTIVE,https://studdmuffynlife.com/
